"Response","Question.Tag","Seven.Vital.Conditions","Sub.Condition","Tags","Location","Date","Facilitator","Note.Taker","AssignedCondition"
"down rich get richer poor get poorer","Are we trending up or down?","Not Marked","W&FH - Savings and limited debt","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Work & Financial Health (W&FH)"
"lower wage employment","Vulnerable groups in community?","Not Marked","W&FH - Savings and limited debt","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Work & Financial Health (W&FH)"
"minimum wage rates","Barriers to community well-being?","Not Marked","W&FH - Savings and limited debt","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Work & Financial Health (W&FH)"
"poverty","Barriers to community well-being?","Not Marked","W&FH - Savings and limited debt","","Appleton Library",2019-06-06,"Jason Schulist","Adriana McCleer","Work & Financial Health (W&FH)"
"awareness you don t see the poverty lower class when you are passing through the fox cities i e homeless population is not seen","Barriers to community well-being?","Not Marked","W&FH - Savings and limited debt","","FC Chamber",2019-06-18,"Jeff Hunter","Karen Flom","Work & Financial Health (W&FH)"
"financial security and opportunity to be financially stable","""Well Being"" brings to mind?","Not Marked","W&FH - Savings and limited debt","","FC Chamber",2019-06-18,"Jeff Hunter","Karen Flom","Work & Financial Health (W&FH)"
"lower income","Vulnerable groups in community?","Not Marked","W&FH - Savings and limited debt","","FC Chamber",2019-06-18,"Jeff Hunter","Karen Flom","Work & Financial Health (W&FH)"
"under resourced at or near the poverty line","Vulnerable groups in community?","Not Marked","W&FH - Savings and limited debt","","FC Chamber",2019-06-18,"Jeff Hunter","Karen Flom","Work & Financial Health (W&FH)"
"economic strengths","""Well Being"" brings to mind?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Work & Financial Health (W&FH)"
"fix the system if someone is low income they are set to fail you can t get a job because you lose all of your resources give more time with resources while they get back on their feet","Ideas for Innovation","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Work & Financial Health (W&FH)"
"generational poverty","Vulnerable groups in community?","Not Marked","W&FH - Savings and limited debt","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Work & Financial Health (W&FH)"
"lower socio economic","Vulnerable groups in community?","Not Marked","W&FH - Savings and limited debt","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Work & Financial Health (W&FH)"
"money","Barriers to community well-being?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Work & Financial Health (W&FH)"
"trending down economic stability","Are we trending up or down?","Not Marked","W&FH - Savings and limited debt","","LGBTQ - Goodwill",2019-06-05,"Josh Kilgas","Karen Flom","Work & Financial Health (W&FH)"
"trending down lowering self esteem due to technology if you are not from a family who can provide technology you are left out of a lot of things","Are we trending up or down?","Healthy Environment (HE)","W&FH - Savings and limited debt","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Work & Financial Health (W&FH)"
"trending down poor seem poorer but there is less stigma about the trades","Are we trending up or down?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Meuhl Public Library, Seymour",2019-05-29,"Josh Kilgas","Josh Kilgas","Work & Financial Health (W&FH)"
"unknown many of us our group are not native to appleton so we don t have a strong consensus but sense trending down there is a difference between upper income and those in lower incomes kids have a need for instant gratification","Are we trending up or down?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","NAMI Fox Valley",2019-05-16,"Josh Kilgas","Josh Kilgas","Work & Financial Health (W&FH)"
"financial obstacles are getting in the way for the newer generations","Are we trending up or down?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","B&GC",2019-05-03,"Julie Filapek","Manny Vasquez","Work & Financial Health (W&FH)"
"big gap between the haves and have nots","Barriers to community well-being?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Work & Financial Health (W&FH)"
"depends on income level","Are we trending up or down?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Work & Financial Health (W&FH)"
"financial well being","""Well Being"" brings to mind?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Work & Financial Health (W&FH)"
"low income poverty","Vulnerable groups in community?","Not Marked","W&FH - Savings and limited debt","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Work & Financial Health (W&FH)"
"rising cost of living exceeds wage increases","Barriers to community well-being?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Work & Financial Health (W&FH)"
"social class divide","Barriers to community well-being?","Belonging & Civic Muscle (B&CM)","W&FH - Savings and limited debt","","City of Appleton",2019-04-23,"Karen Flom","Todd Sutton","Work & Financial Health (W&FH)"
"wealth disparity and growing opportunity gaps","Are we trending up or down?","Not Marked","W&FH - Savings and limited debt","","Prince of Peace",2019-06-30,"Leila Pertl","Brian Pertl","Work & Financial Health (W&FH)"
"down family financials","Are we trending up or down?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Fox Cities Convention and Visitors Bureau",2019-07-09,"Liz Wollenberg","","Work & Financial Health (W&FH)"
"down skyrocketing student loans","Are we trending up or down?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Fox Cities Convention and Visitors Bureau",2019-07-09,"Liz Wollenberg","","Work & Financial Health (W&FH)"
"low economic status","Vulnerable groups in community?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Fox Cities Convention and Visitors Bureau",2019-07-09,"Liz Wollenberg","","Work & Financial Health (W&FH)"
"financial well being","""Well Being"" brings to mind?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Community Foundation",2019-02-28,"Lynn Coriano","Todd Sutton","Work & Financial Health (W&FH)"
"kids eligible for free reduced lunch families in poverty","Vulnerable groups in community?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Community Foundation",2019-02-28,"Lynn Coriano","Todd Sutton","Work & Financial Health (W&FH)"
"economic well being","""Well Being"" brings to mind?","Not Marked","W&FH - Savings and limited debt","","Appleton Public Library",2019-06-06,"Manny Vasquez","Manny Vasquez","Work & Financial Health (W&FH)"
"economic well being","""Well Being"" brings to mind?","Not Marked","W&FH - Savings and limited debt","","Appleton Public Library",2019-06-06,"Manny Vasquez","Manny Vasquez","Work & Financial Health (W&FH)"
"prosperity","""Well Being"" brings to mind?","Not Marked","W&FH - Savings and limited debt","","Appleton Public Library",2019-06-06,"Manny Vasquez","Manny Vasquez","Work & Financial Health (W&FH)"
"financial stability","""Well Being"" brings to mind?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Fox Valley Technical College - Students",2019-05-08,"Melissa Christman","Carol Wedig","Work & Financial Health (W&FH)"
"economy in area has changed in the last generation lost huge amount of jobs that would guarantee middle class status shrinking middle class","Are we trending up or down?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Labor Temple",2019-06-09,"Mike Sandercock","Mike Sandercock","Work & Financial Health (W&FH)"
"financial challenges generational gap younger have fewer financial advantages","Barriers to community well-being?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","United Way Fox Cities",2019-02-27,"Mike Sandercock","Penny Robinson","Work & Financial Health (W&FH)"
"financial health","""Well Being"" brings to mind?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","finances","United Way Fox Cities",2019-02-27,"Mike Sandercock","Penny Robinson","Work & Financial Health (W&FH)"
"financial health","""Well Being"" brings to mind?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Outagamie County Health",2019-04-14,"Mike Sandercock","Penny Robinson","Work & Financial Health (W&FH)"
"free and reduced lunch rates are rising","Barriers to community well-being?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Outagamie County Health",2019-04-14,"Mike Sandercock","Penny Robinson","Work & Financial Health (W&FH)"
"generational poverty","Are we trending up or down?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Outagamie County Health",2019-05-11,"Mike Sandercock","Penny Robinson","Work & Financial Health (W&FH)"
"low income community generational poverty","Vulnerable groups in community?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Labor Temple",2019-06-09,"Mike Sandercock","Mike Sandercock","Work & Financial Health (W&FH)"
"low income families","Vulnerable groups in community?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","United Way Fox Cities",2019-02-27,"Mike Sandercock","Penny Robinson","Work & Financial Health (W&FH)"
"security not living paycheck to paycheck","""Well Being"" brings to mind?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Labor Temple",2019-06-09,"Mike Sandercock","Mike Sandercock","Work & Financial Health (W&FH)"
"student loan forgiveness","Ideas for Innovation","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Outagamie County Health",2019-06-06,"Mike Sandercock","Penny Robinson","Work & Financial Health (W&FH)"
"hs kids as primary bread winner in home we ve got to look behind behaviors","Are we trending up or down?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","Thrivent",2018-12-03,"Monte","Stacy","Work & Financial Health (W&FH)"
"cost of living","Best part of living here?","Not Marked","W&FH - Savings and limited debt","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Work & Financial Health (W&FH)"
"low economic population are at risk","Vulnerable groups in community?","Not Marked","W&FH - Savings and limited debt","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Work & Financial Health (W&FH)"
"no worries about economic situation","""Well Being"" brings to mind?","Not Marked","W&FH - Savings and limited debt","","Kimberly-Clark",2019-06-03,"Patrick","Manny Vasquez","Work & Financial Health (W&FH)"
"financial ease of access for resources care transportation","Barriers to community well-being?","Health & Safety (H&S)","W&FH - Savings and limited debt","","CHW  Cmm First",2019-06-11,"Paula","Kara","Work & Financial Health (W&FH)"
"low socioeconomic","Vulnerable groups in community?","Not Marked","W&FH - Savings and limited debt","","LC  Village Hall",2019-06-13,"Paula","KV","Work & Financial Health (W&FH)"
"poverty rates are high","Barriers to community well-being?","Work & Financial Health (W&FH)","W&FH - Savings and limited debt","","LC  Village Hall",2019-06-13,"Paula","KV","Work & Financial Health (W&FH)"
